labels,x,y,intensity
cell1,201.781973360627,844.54857691246,1937.15009589556
cell1,202.138891340699,857.99125556891,2956.9501183954
cell1,202.478172127374,865.418138589666,4410.94896141202
cell1,204.126528043141,785.707239311147,2572.86180864862
cell1,204.52323829102,734.399549084015,15966.97965917
cell1,204.690767010704,792.439191064301,2453.29947414237
cell1,206.300503784456,767.210558539944,2712.635226487
cell1,206.249695351816,810.599939273055,9156.70763357638
cell1,208.024003682632,828.384754199657,4350.92621836945
cell1,207.471278471388,849.136884287582,3626.28191857542
cell1,207.272596919444,818.868662207569,17626.3759668971
cell1,208.894917311961,763.014070972419,2752.97586686692
cell1,210.158438462602,707.093784512445,9195.48252031114
cell1,209.763724585086,801.178783600205,3957.08590634742
cell1,209.790171739426,835.422631485747,17814.664511866
cell1,210.436802983628,869.568379574573,2607.23880944466
cell1,210.097481829485,830.12344363311,2175.07332258434
cell1,211.639711447963,731.15047853626,15974.4302508925
cell1,213.114759496919,776.11764715789,16929.6900347785
cell1,213.437153845302,813.384248362689,13539.6153933851
cell1,213.576388232814,766.587920373633,2961.96643890836
cell1,215.382920242521,787.600944965904,3656.75218089891
cell1,215.884602593028,705.950836174516,8374.21907446211
cell1,215.93884621691,835.5607457565,13157.6603186442
cell1,215.774172143438,849.316382727463,2284.24551187589
cell1,217.378356464892,800.286982608656,6362.95144154372
cell1,217.425867666329,804.612041489463,5262.33414912427
cell1,219.298537239938,727.807665526472,9565.84355005275
cell1,218.576702291841,734.745506153536,3465.75868047369
cell1,219.012203612931,817.072756320652,12013.8886478715
cell1,218.98283670314,842.110139365224,4072.4491841488
cell1,218.793039447379,874.579197419812,3874.69359260155
cell1,220.227040107237,748.104110434028,4341.1739325014
cell1,220.323721177557,783.256601219274,1926.20581567396
cell1,220.999735306854,775.891675083655,12820.5267758951
cell1,220.675357600637,827.202603079568,16485.6719381801
cell1,220.59380550906,855.675126351058,5613.08890541594
cell1,222.233032468579,847.225560953031,5896.0077107652
cell1,223.081903231168,796.7681298652,7623.70861572954
cell1,222.764074924194,820.31185892614,8359.11795080941
cell1,224.191985975471,712.095936147451,3976.52737519504
cell1,224.39550347295,725.479122911034,12796.7811487683
cell1,223.763237747321,740.301090717619,1421.40004586885
cell1,224.465632734887,806.804221765358,7625.90058112415
cell1,225.152241940149,703.59275030599,8267.80591633086
cell1,224.747868067772,767.965267171787,5685.62659189754
cell1,226.249340159998,780.74068178914,2549.80382316842
cell1,225.874635068977,839.695060024402,8557.66156693902
cell1,227.381340442099,831.414032591016,16708.2346744411
cell1,228.70216601055,878.85879670408,13705.6651213565
cell1,228.534291729095,882.14921763757,9162.161863481
cell1,230.547166660798,722.292602778643,13477.7120674141
cell1,230.076463310165,750.893210665197,4814.78035675749
cell1,230.529691155903,797.356315942684,7442.18503245009
cell1,229.957561321559,806.465880269418,5168.3967624004
cell1,229.776304563352,824.909156805876,14817.0933992205
cell1,229.716626113434,843.999357172571,6134.21720854249
cell1,229.725862563714,863.630462195954,2446.76756989883
cell1,230.300982945242,832.882726250811,10348.9311402587
cell1,230.676082167744,852.215070157701,6375.80427635497
cell1,231.535852634926,714.00257975122,7853.67615064007
cell1,232.030896069533,759.246340335955,2441.76867493455
cell1,232.062124477239,814.7602962987,3985.35673426172
cell1,232.613874401985,775.269631562067,12171.8730417739
cell1,232.997234511532,769.604666615464,4924.93863491707
cell1,235.144955311912,700.698114553401,7512.07250933539
cell1,236.278551503715,828.062461839781,13901.2649378933
cell1,236.248608068623,836.43836160336,15786.6838450878
cell1,236.192195917123,881.569859943994,15907.3060514665
cell1,237.113957039994,796.971267098237,12953.3467478467
cell1,237.062287233678,806.415420831297,3731.20002755684
cell1,238.89676663154,720.501111353757,10837.1346773816
cell1,239.629555964564,753.970694294961,7235.13630616626
cell1,239.096175920027,817.334878817517,7089.84681804351
cell1,239.332547112045,850.432662659465,2985.61185245109
cell1,239.74534881566,829.466837264102,8736.17511754859
cell1,240.877445542949,699.095035145178,6674.70941701259
cell1,240.512944397646,859.642167257358,3910.01746841452
cell1,241.73706365621,838.201209070598,19863.2014950299
cell1,242.361118975449,796.097347796468,13342.6083311214
cell1,244.55621116161,717.695063415903,7979.02620381534
cell1,245.065194415783,774.544253889061,37677.8642679706
cell1,244.271612869728,840.650373097794,8045.65041547675
cell1,246.389957143205,805.771913526931,7876.07756063594
cell1,246.150542545423,832.206299512836,11679.8790632596
cell1,246.034120026134,847.923336537348,6226.74020592425
cell1,246.544240169403,885.619039861413,15385.1910828015
cell1,247.468579869537,815.415001185462,10601.6832055842
cell1,248.37679901702,762.806141396733,1867.54858076084
cell1,248.500316809418,855.49993845936,3619.18735793543
cell1,250.599696300124,795.199992215389,15084.7345046632
cell1,250.330476115129,863.486547980878,15323.3113699381
cell1,251.271132864426,887.119483526394,15980.399833218
cell1,252.49707537642,773.682265536565,27186.8581193811
cell1,251.410844266422,782.69702646307,14548.3984337185
cell1,252.189056324029,845.189769371116,9153.8806057445
cell1,253.161372761361,695.208914043434,20391.4282117052
cell1,253.05466601696,723.375475754783,15340.2312993619
cell1,255.561218431969,713.539495057347,5136.63555798485
cell1,255.06660414972,815.529532865576,8769.91811053755
cell1,256.012630363134,866.875541206533,21720.0286141618
cell1,257.146407468487,759.858431514689,5286.81732223542
cell1,256.475807294365,787.603983392216,7229.04391161196
cell1,256.654306160576,794.579644490532,11259.0468258063
cell1,256.84655478273,838.010605574785,18083.1269502317
cell1,257.130693204882,855.548309674937,2445.85404042477
cell1,257.859841030085,804.934626607682,12008.8361223986
cell1,258.019142984252,828.648603264277,1454.74710452952
cell1,257.753083018599,889.075528828681,24945.7543622143
cell1,258.920462306672,725.527293415105,13535.7105908563
cell1,259.786986105468,693.335229920102,20409.6316813154
cell1,260.862305347536,711.187368031534,10191.9922037993
cell1,261.572490236034,850.044253840231,8535.44626663568
cell1,260.75585899853,868.210518668552,15690.0705465528
cell1,261.926991979775,773.254908550003,22643.3059863201
cell1,261.540684459592,875.046616454253,7765.05232877992
cell1,262.907069964919,831.010670824483,1559.14642615339
cell1,263.464614679714,859.4378953104,4190.78465376901
cell1,264.481403619164,727.964256296016,12376.4566375818
cell1,265.015102554695,793.317620708527,19670.7925952358
cell1,266.384571515163,717.543577875344,1992.75059870254
cell1,265.921245648941,815.245611452395,8512.21884022506
cell1,266.459075213378,870.091616837412,18636.1007389977
cell1,267.47342003257,690.964985581842,29117.5260717831
cell1,267.272906002986,701.307178949596,3336.73232056472
cell1,267.30379059038,853.872324921059,6879.53476237486
cell1,268.415863831805,762.866817073218,5425.75288590411
cell1,267.497749710598,801.965077086857,16629.6246341025
cell1,268.023736311692,892.976503506365,19924.0386809701
cell1,270.779853614724,730.343925666367,11870.6936035804
cell1,270.2007081431,794.584934971011,15654.7493989288
cell1,270.238324438554,839.679907479651,17556.059629131
cell1,270.232570835172,883.668775854393,2628.87017585273
cell1,270.662134087237,689.906015173092,18566.2243768228
cell1,271.081932551518,698.611241689848,2146.93487662038
cell1,271.285221200809,738.097857955921,19252.0216330701
cell1,271.65097919476,836.391858736692,6394.99667208953
cell1,271.760393342527,771.702971947655,19708.307175565
cell1,272.140948911387,815.237135990861,5836.92308413182
cell1,272.220227766147,872.596731551664,29520.9988741274
cell1,272.890458372947,787.699232726736,7120.62613994207
cell1,273.964619176539,706.845097637581,7190.5501076807
cell1,273.529611824591,731.220944244316,7857.9653416254
cell1,273.948204239837,804.188863048985,14407.4368685902
cell1,274.199734510183,858.207145882133,10137.4667440655
cell1,276.20564397885,687.937772720342,28019.4049127497
cell1,275.163040719171,795.419509755797,10253.2343646419
cell1,276.367712580045,895.925409853672,16738.668910959
cell1,277.424257231942,717.638765296333,4667.6446403431
cell1,276.61480049313,743.062644144892,18146.7131520393
cell1,276.963417088748,770.147088562591,10793.2416703197
cell1,277.188039351096,839.592832178167,20467.7232413373
cell1,277.975542493044,874.358179723366,25164.6128993441
cell1,280.343589623393,736.411836551741,12460.9047035319
cell1,278.79926009375,757.937297864122,1550.22272443522
cell1,279.019814439244,850.323148357441,6435.3248696702
cell1,278.905382629138,860.402885050132,10190.8128406613
cell1,280.473972751665,774.390983546761,9568.83393282391
cell1,280.150269062284,783.571999953516,2246.94784501282
cell1,279.869953568283,864.33835635303,7251.32331599746
cell1,281.007330545071,703.840991235969,9898.62070143473
cell1,280.929764591377,747.24833719671,11522.4267131552
cell1,279.741404347927,796.293290627811,5506.07819750014
cell1,281.900901838358,805.154103462477,25712.8884136436
cell1,283.224673510895,717.617814316226,3338.86194084469
cell1,283.550314105651,840.415667962698,30047.2929135752
cell1,283.9933968266,684.848395071288,32501.3909052474
cell1,284.455703462253,734.249831073652,10323.1418236295
cell1,284.27932209957,791.148354339271,7642.24647510215
cell1,284.137708469792,877.076083523427,31996.7021326835
cell1,284.547111478057,694.106492737241,3558.08793552223
cell1,285.563114954635,742.361563866529,9721.27975626145
cell1,285.440814060837,768.909819378436,15335.6686388142
cell1,285.609573166075,899.837055216891,18748.7968747996
cell1,285.993653740291,815.620143620393,4088.47934146851
cell1,287.207771935836,827.379356492392,1784.31843840722
cell1,287.455423811281,855.736001333367,8097.48110244224
cell1,287.337182652688,865.176549153464,17794.3614477077
cell1,287.431945764141,743.787789698972,3959.22486256167
cell1,288.012315332884,754.704382425339,14423.3004441156
cell1,288.011984331061,797.425747266155,13936.4234588813
cell1,288.913454305589,807.289955292706,11443.7079286796
cell1,288.89313442211,891.204904754074,2876.00092034035
cell1,288.922173433839,901.031448358993,11761.5699853439
cell1,289.526493412765,866.265857417283,6538.53678731158
cell1,291.104041939222,699.782163539745,3914.88682887042
cell1,290.255379241321,767.290758412444,10960.3278069216
cell1,291.917940869195,681.90328586979,37667.3198262008
cell1,291.957023981161,736.536273805664,10329.6262668431
cell1,291.975912177008,758.37084586616,14561.7302401467
cell1,291.955930065574,781.084003569816,2970.63486155784
cell1,294.16782481267,852.600123790555,4579.2544998814
cell1,293.989794714311,880.686116777622,37159.3734053558
cell1,294.700409389112,751.326694235891,5850.44701023127
cell1,294.66584138556,798.128374840937,16962.8774950687
cell1,295.224237743885,808.538935444343,15896.5074885844
